Num_Docs,Altura,Total_Nos,Profundidade_Media,Profundidade_Minima,Max_Desbalanceamento,Tempo_Total_Indexacao,Tempo_Medio_Insercao,Densidade_Arvore,Maior_Galho,Menor_Galho,Total_Comparacoes_Indexacao,Tempo_Maximo_Busca_Amostra,Comparacoes_Total_Busca_Amostra,Tempo_Medio_Busca_Amostra_Por_Palavra,Comparacoes_Medias_Busca_Amostra_Por_Palavra,Tipo_Arvore
1,7,129,5.28682,5,1,0.043,0.000333333,0.505882,7,5,991,0,1051,0,5.93785,AVL
2,8,205,5.89756,5,1,0.091,0.000443902,0.401174,8,5,1912,0,2030,0,6.67763,AVL
3,10,574,7.43554,6,1,0.241,0.000419861,0.28041,10,6,9808,0,7742,0,7.742,AVL
4,10,604,7.51656,6,1,0.276,0.000456954,0.295066,10,6,10513,0.002,7717,2e-06,7.717,AVL
5,11,704,7.73722,6,1,0.297,0.000421875,0.171917,11,6,13142,0,7908,0,7.908,AVL
6,11,806,7.9268,6,1,0.329,0.000408189,0.196825,11,6,15100,0,8070,0,8.07,AVL
7,11,883,8.06342,6,1,0.333,0.000377123,0.215629,11,6,16780,0.008,8122,8e-06,8.122,AVL
8,11,1113,8.36837,7,1,0.375,0.000336927,0.271795,11,7,22907,0,8384,0,8.384,AVL
9,11,1160,8.43017,7,1,0.376,0.000324138,0.283272,11,7,23847,0,8466,0,8.466,AVL
10,11,1279,8.57936,7,1,0.414,0.00032369,0.312332,11,7,27097,0.008,8523,9e-06,8.523,AVL
11,12,1407,8.72139,8,1,0.465,0.00033049,0.171774,12,8,31109,0,8680,0,8.68,AVL
12,12,1463,8.77649,8,1,0.5,0.000341763,0.178611,12,8,32857,0.001,8681,3e-06,8.681,AVL
13,12,1526,8.82962,8,1,0.504,0.000330275,0.186302,12,8,34534,0.001,8702,5e-06,8.702,AVL
14,12,1671,8.96589,8,1,0.516,0.000308797,0.204004,12,8,39211,0.008,8881,0.00018,8.881,AVL
15,12,1824,9.08333,8,1,0.563,0.000308662,0.222683,12,8,45431,0.001,8885,5e-06,8.885,AVL
16,12,1924,9.1762,8,1,0.589,0.000306133,0.234892,12,8,48742,0.013,8849,0.000202,8.849,AVL
17,12,1994,9.2332,8,1,0.593,0.000297392,0.243438,12,8,51388,0.001,9015,2e-06,9.015,AVL
18,12,2057,9.28439,8,1,0.658,0.000319883,0.251129,12,8,53427,0.001,8934,1e-06,8.934,AVL
19,12,2119,9.33082,8,1,0.673,0.000317603,0.258699,12,8,55688,0.014,8966,2.1e-05,8.966,AVL
20,13,2314,9.45376,8,1,0.759,0.000328003,0.141244,13,8,65621,0.006,9200,3.2e-05,9.2,AVL
21,13,2435,9.53265,8,1,0.8,0.000328542,0.14863,13,8,70379,0.001,9060,4e-06,9.06,AVL
22,13,2470,9.55304,8,1,0.814,0.000329555,0.150766,13,8,72310,0.001,9189,9e-06,9.189,AVL
23,13,2591,9.61173,8,1,0.928,0.000358163,0.158152,13,8,78304,0.002,9303,1.8e-05,9.303,AVL
24,13,2632,9.62994,8,1,0.937,0.000356003,0.160654,13,8,80023,0.012,9336,8.7e-05,9.336,AVL
25,13,2682,9.66145,8,1,0.939,0.000350112,0.163706,13,8,82706,0.012,9402,8.4e-05,9.402,AVL
26,13,2771,9.70805,8,1,1.007,0.000363407,0.169139,13,8,87437,0.001,9333,8e-06,9.333,AVL
27,13,2828,9.73444,8,1,1.016,0.000359264,0.172618,13,8,90458,0.002,9271,1.5e-05,9.271,AVL
28,13,3002,9.81779,8,1,1.12,0.000373085,0.183239,13,8,98329,0.007,9419,3.7e-05,9.419,AVL
29,13,3055,9.84124,8,1,1.148,0.000375777,0.186474,13,8,100905,0.005,9566,2.3e-05,9.566,AVL
30,13,3160,9.88449,8,1,1.154,0.00036519,0.192883,13,8,106329,0.014,9299,8.3e-05,9.299,AVL
31,13,3191,9.89784,8,1,1.166,0.000365403,0.194775,13,8,107744,0.014,9415,7.8e-05,9.415,AVL
32,13,3249,9.92305,8,1,1.234,0.000379809,0.198315,13,8,111766,0.001,9322,4e-06,9.322,AVL
33,13,3340,9.96138,9,1,1.246,0.000373054,0.20387,13,9,117344,0.005,9399,2.5e-05,9.399,AVL
34,13,3388,9.97668,9,1,1.263,0.000372786,0.2068,13,9,119878,0.001,9543,4e-06,9.543,AVL
35,13,3448,10.0015,9,1,1.421,0.000412123,0.210462,13,9,122975,0.001,9491,4e-06,9.491,AVL
36,13,3526,10.0357,9,1,1.521,0.000431367,0.215223,13,9,127630,0.009,9638,1.7e-05,9.638,AVL
37,13,3545,10.0463,9,1,1.526,0.000430465,0.216383,13,9,128209,0.001,9440,4e-06,9.44,AVL
38,13,3566,10.0558,9,1,1.542,0.000432417,0.217665,13,9,130309,0.001,9563,1.6e-05,9.563,AVL
39,13,3581,10.062,9,1,1.55,0.00043284,0.21858,13,9,131279,0.001,9457,7e-06,9.457,AVL
40,13,3626,10.0822,9,1,1.829,0.000504413,0.221327,13,9,133973,0.001,9501,2e-06,9.501,AVL
41,13,3793,10.1526,9,1,2.276,0.000600053,0.23152,13,9,144667,0.003,9603,1.3e-05,9.603,AVL
42,13,3861,10.1782,9,1,2.417,0.000626004,0.235671,13,9,147812,0.002,9466,1.4e-05,9.466,AVL
43,14,3952,10.2123,9,1,2.601,0.000658148,0.120609,14,9,153821,0.001,9595,1.2e-05,9.595,AVL
44,14,3975,10.2209,9,1,2.717,0.000683522,0.121311,14,9,155688,0.001,9563,6e-06,9.563,AVL
45,14,4047,10.2473,9,1,2.825,0.000698048,0.123508,14,9,160665,0.002,9730,1.2e-05,9.73,AVL
46,14,4079,10.2594,9,1,2.931,0.000718558,0.124485,14,9,163104,0.001,9625,1.5e-05,9.625,AVL
47,14,4123,10.2765,9,1,3.034,0.000735872,0.125828,14,9,166696,0.001,9827,6e-06,9.827,AVL
48,14,4137,10.2816,9,1,3.174,0.000767223,0.126255,14,9,168487,0.009,9635,2.2e-05,9.635,AVL
49,14,4317,10.3407,9,1,3.276,0.00075886,0.131748,14,9,179280,0.002,9775,1.6e-05,9.775,AVL
50,14,4378,10.3627,9,1,3.391,0.000774555,0.13361,14,9,184676,0.01,9824,1.8e-05,9.824,AVL
51,14,4451,10.3853,9,1,3.48,0.000781847,0.135838,14,9,189804,0.001,9849,5e-06,9.849,AVL
52,14,4543,10.414,9,1,3.787,0.00083359,0.138646,14,9,195762,0.002,9856,7e-06,9.856,AVL
53,14,4614,10.4382,9,1,3.937,0.000853273,0.140812,14,9,201459,0.001,9721,1.3e-05,9.721,AVL
54,14,4653,10.4496,9,1,4.092,0.000879433,0.142003,14,9,204717,0.008,9555,2e-05,9.555,AVL
55,14,4664,10.4526,9,1,4.145,0.000888722,0.142338,14,9,205896,0.009,9726,2.4e-05,9.726,AVL
56,14,4673,10.4545,9,1,4.172,0.000892788,0.142613,14,9,207002,0.001,9874,7e-06,9.874,AVL
57,14,4734,10.4753,9,1,4.258,0.000899451,0.144475,14,9,211436,0.014,9923,3.1e-05,9.923,AVL
58,14,4770,10.4857,9,1,4.311,0.000903774,0.145573,14,9,213723,0.001,9826,1.2e-05,9.826,AVL
59,14,4802,10.4979,9,1,4.443,0.000925239,0.14655,14,9,216322,0.061,9979,7.1e-05,9.979,AVL
60,14,4831,10.5076,9,1,4.457,0.000922583,0.147435,14,9,218205,0.001,9889,6e-06,9.889,AVL
61,14,4858,10.5161,9,1,4.465,0.000919103,0.148259,14,9,219649,0.01,9897,2.6e-05,9.897,AVL
62,14,4886,10.5239,9,1,4.483,0.000917519,0.149113,14,9,221469,0.001,9882,1.4e-05,9.882,AVL
63,14,4926,10.5355,9,1,4.493,0.000912099,0.150334,14,9,224812,0.133,9879,0.000319,9.879,AVL
64,14,4971,10.549,9,1,4.518,0.000908871,0.151708,14,9,227747,0.05,9792,0.000375,9.792,AVL
