Num_Docs,Altura,Total_Nos,Profundidade_Media,Profundidade_Minima,Max_Desbalanceamento,Tempo_Total_Indexacao,Tempo_Medio_Insercao,Densidade_Arvore,Maior_Galho,Menor_Galho,Total_Comparacoes_Indexacao,Tempo_Maximo_Busca_Amostra,Comparacoes_Total_Busca_Amostra,Tempo_Medio_Busca_Amostra_Por_Palavra,Comparacoes_Medias_Busca_Amostra_Por_Palavra,Tipo_Arvore
1,7,129,5.23256,5,3,0.024,0.000186047,0.505882,7,5,1006,0.001,1064,5.64972e-06,6.0113,RBT
2,8,205,5.94634,5,3,0.036,0.00017561,0.401174,8,5,1922,0,1989,0,6.54276,RBT
3,11,574,7.41986,7,6,0.185,0.0003223,0.140171,11,7,9978,0,7979,0,7.979,RBT
4,11,604,7.50662,7,6,0.201,0.000332781,0.147497,11,7,10706,0.018,7901,1.8e-05,7.901,RBT
5,11,704,7.72017,7,6,0.22,0.0003125,0.171917,11,7,13399,0,8066,0,8.066,RBT
6,11,806,7.9268,7,6,0.244,0.00030273,0.196825,11,7,15448,0.001,8194,1e-06,8.194,RBT
7,11,883,8.05776,7,6,0.249,0.000281993,0.215629,11,7,17187,0,8418,0,8.418,RBT
8,11,1113,8.39892,7,6,0.302,0.000271339,0.271795,11,7,23574,0.001,8705,2e-06,8.705,RBT
9,12,1160,8.48017,7,6,0.304,0.000262069,0.141619,12,7,24525,0,8712,0,8.712,RBT
10,12,1279,8.62627,7,6,0.349,0.000272869,0.156147,12,7,27917,0,8811,0,8.811,RBT
11,12,1407,8.76546,7,6,0.4,0.000284293,0.171774,12,7,32083,0.012,9027,1.3e-05,9.027,RBT
12,12,1463,8.82297,7,6,0.429,0.000293233,0.178611,12,7,33866,0,9016,0,9.016,RBT
13,12,1526,8.88663,7,6,0.431,0.000282438,0.186302,12,7,35647,0.01,9056,1e-05,9.056,RBT
14,12,1671,9.02693,7,6,0.443,0.000265111,0.204004,12,7,40496,0.001,9302,2e-06,9.302,RBT
15,12,1824,9.16502,8,5,0.493,0.000270285,0.222683,12,8,47005,0.011,9332,1.1e-05,9.332,RBT
16,13,1924,9.25156,8,5,0.511,0.000265593,0.117439,13,8,50453,0.06,9378,7.2e-05,9.378,RBT
17,13,1994,9.30843,8,5,0.795,0.000398696,0.121712,13,8,53168,0.162,9368,0.000258,9.368,RBT
18,13,2057,9.36364,8,5,1.313,0.000638308,0.125557,13,8,55305,0.019,9408,3.7e-05,9.408,RBT
19,13,2119,9.40916,8,5,1.742,0.000822086,0.129341,13,8,57663,0.178,9477,0.000354,9.477,RBT
20,13,2314,9.55143,8,5,2.67,0.00115385,0.141244,13,8,68302,0.02,9681,2.9e-05,9.681,RBT
21,13,2435,9.6345,8,5,3.096,0.00127146,0.14863,13,8,73344,0.001,9779,2.4e-05,9.779,RBT
22,13,2470,9.65425,8,5,3.123,0.00126437,0.150766,13,8,75403,0.023,9593,5.3e-05,9.593,RBT
23,13,2591,9.71787,8,5,3.31,0.0012775,0.158152,13,8,81637,0.001,9824,5.8e-05,9.824,RBT
24,13,2632,9.74582,8,5,3.344,0.00127052,0.160654,13,8,83430,0.001,9725,3e-05,9.725,RBT
25,14,2682,9.76846,8,5,3.416,0.00127368,0.0818506,14,8,86298,0.001,9833,1.2e-05,9.833,RBT
26,14,2771,9.81812,8,5,4.092,0.00147672,0.0845668,14,8,91291,0.58,9742,0.002761,9.742,RBT
27,14,2828,9.84724,8,5,4.544,0.00160679,0.0863063,14,8,94425,0.054,9785,0.000333,9.785,RBT
28,14,3002,9.94404,8,5,6.885,0.00229347,0.0916166,14,8,102612,0.004,9880,4.5e-05,9.88,RBT
29,14,3055,9.9689,8,5,7.19,0.00235352,0.093234,14,8,105302,0.004,9737,9.7e-05,9.737,RBT
30,14,3160,10.0222,8,5,7.819,0.00247437,0.0964385,14,8,110943,0.028,9937,0.000206,9.937,RBT
31,14,3191,10.0382,8,5,7.948,0.00249076,0.0973846,14,8,112407,0.008,9805,4.2e-05,9.805,RBT
32,14,3249,10.0634,8,5,8.609,0.00264974,0.0991546,14,8,116546,0.004,9907,7.1e-05,9.907,RBT
33,14,3340,10.1006,8,5,10.031,0.00300329,0.101932,14,8,122304,0.035,9972,0.000438,9.972,RBT
34,14,3388,10.1234,8,5,10.57,0.00311983,0.103397,14,8,124937,0.007,9908,0.000632,9.908,RBT
35,14,3448,10.1465,8,5,11.354,0.00329292,0.105228,14,8,128150,0.02,9891,0.000572,9.891,RBT
36,14,3526,10.1807,8,5,11.876,0.00336812,0.107608,14,8,132979,0.006,9854,0.000136,9.854,RBT
37,14,3545,10.189,8,5,11.893,0.00335487,0.108188,14,8,133588,0.025,9790,0.000475,9.79,RBT
38,14,3566,10.1988,8,5,11.933,0.00334633,0.108829,14,8,135788,0.002,9864,4.2e-05,9.864,RBT
39,14,3581,10.2047,8,5,11.952,0.00333762,0.109287,14,8,136785,0.009,9885,1.3e-05,9.885,RBT
40,14,3626,10.2259,8,5,12.072,0.00332929,0.11066,14,8,139584,0.006,9997,5.6e-05,9.997,RBT
41,14,3793,10.2895,8,5,14.741,0.00388637,0.115757,14,8,150715,0.003,9982,1.1e-05,9.982,RBT
42,14,3861,10.3157,8,5,15.432,0.00399689,0.117832,14,8,153962,0.008,9971,1.2e-05,9.971,RBT
43,14,3952,10.353,8,5,16.355,0.00413841,0.120609,14,8,160040,0.002,10089,8e-06,10.089,RBT
44,14,3975,10.362,8,5,16.977,0.00427094,0.121311,14,8,162007,0.03,10026,0.000568,10.026,RBT
45,14,4047,10.3862,8,5,17.798,0.00439783,0.123508,14,8,167107,0.004,10165,4.1e-05,10.165,RBT
46,14,4079,10.3976,8,5,18.17,0.00445452,0.124485,14,8,169606,0.001,10012,7e-06,10.012,RBT
47,14,4123,10.4145,8,5,19.039,0.00461775,0.125828,14,8,173341,0.001,9965,2e-06,9.965,RBT
48,14,4137,10.4194,8,5,19.24,0.00465071,0.126255,14,8,175141,0.001,10073,2e-06,10.073,RBT
49,14,4317,10.4422,8,5,19.604,0.00454112,0.131748,14,8,186269,0.001,9958,1e-06,9.958,RBT
50,14,4378,10.4637,8,5,19.819,0.00452695,0.13361,14,8,191745,0.001,10064,7e-06,10.064,RBT
51,14,4451,10.4855,8,5,20.091,0.00451382,0.135838,14,8,196967,0.005,10044,4.8e-05,10.044,RBT
52,14,4543,10.5219,8,6,20.319,0.0044726,0.138646,14,8,203078,0.005,9942,9.1e-05,9.942,RBT
53,14,4614,10.5488,8,6,20.973,0.00454551,0.140812,14,8,208869,0.015,10118,4.6e-05,10.118,RBT
54,14,4653,10.5652,8,6,21.831,0.00469181,0.142003,14,8,212101,0.006,10098,6e-05,10.098,RBT
55,14,4664,10.5682,8,6,21.981,0.00471291,0.142338,14,8,213317,0.017,10152,5.5e-05,10.152,RBT
56,14,4673,10.5716,8,6,22.185,0.00474749,0.142613,14,8,214436,0.005,10026,4.2e-05,10.026,RBT
57,14,4734,10.5898,9,6,22.343,0.00471969,0.144475,14,9,218982,0.022,9934,0.000138,9.934,RBT
58,14,4770,10.5998,9,6,22.468,0.00471027,0.145573,14,9,221338,0.006,10090,5.8e-05,10.09,RBT
59,14,4802,10.6104,9,6,22.635,0.00471366,0.14655,14,9,223966,0.005,10124,0.000151,10.124,RBT
60,14,4831,10.6204,9,6,22.708,0.00470048,0.147435,14,9,225901,0.054,10025,0.000308,10.025,RBT
61,14,4858,10.6307,9,6,22.756,0.00468423,0.148259,14,9,227436,0.005,9931,0.000147,9.931,RBT
62,14,4886,10.6019,9,6,22.795,0.00466537,0.149113,14,9,229292,0.016,10131,2.5e-05,10.131,RBT
63,15,4926,10.6145,9,6,22.851,0.00463886,0.0751659,15,9,232731,0.001,9990,3e-06,9.99,RBT
64,15,4971,10.6246,9,6,22.903,0.00460732,0.0758526,15,9,235746,0.069,10183,0.000326,10.183,RBT
65,15,5032,10.6425,9,6,23.063,0.00458327,0.0767834,15,9,241496,0.005,10125,9.7e-05,10.125,RBT
66,15,5056,10.6509,9,6,23.211,0.00459078,0.0771496,15,9,246035,0.012,10078,9.6e-05,10.078,RBT
67,15,5107,10.6659,9,6,23.448,0.00459135,0.0779278,15,9,251383,0.014,10158,9e-05,10.158,RBT
68,15,5136,10.6748,9,6,23.564,0.00458801,0.0783703,15,9,253767,0.154,10181,0.000217,10.181,RBT
69,15,5158,10.6801,9,6,24.352,0.00472121,0.078706,15,9,256413,0.006,10117,0.000188,10.117,RBT
70,15,5197,10.6917,9,6,24.768,0.00476583,0.0793011,15,9,259138,0.001,10196,2.4e-05,10.196,RBT
71,15,5246,10.7059,9,6,25.243,0.00481186,0.0800488,15,9,263438,0.023,10153,7.1e-05,10.153,RBT
72,15,5272,10.7123,9,6,25.422,0.00482208,0.0804456,15,9,266100,0.005,10104,4.1e-05,10.104,RBT
73,15,5317,10.726,9,6,25.74,0.00484108,0.0811322,15,9,270650,0.011,10054,2.2e-05,10.054,RBT
74,15,5393,10.7491,9,6,26.133,0.00484573,0.0822919,15,9,279080,0.001,10129,4e-06,10.129,RBT
75,15,5411,10.7538,9,6,26.242,0.00484975,0.0825666,15,9,281094,0.009,10143,2e-05,10.143,RBT
76,15,5483,10.7691,9,6,26.515,0.00483586,0.0836652,15,9,290244,0.002,10224,7e-05,10.224,RBT
77,15,5544,10.7864,9,6,26.697,0.00481548,0.084596,15,9,294123,0.001,10193,2.4e-05,10.193,RBT
78,15,5580,10.797,9,6,26.874,0.00481613,0.0851453,15,9,298092,0.017,10186,4.5e-05,10.186,RBT
79,15,5638,10.8182,9,6,28.068,0.00497836,0.0860304,15,9,304603,0.001,10104,1e-05,10.104,RBT
80,15,5715,10.8413,9,6,28.787,0.0050371,0.0872053,15,9,310949,0.001,10288,1e-05,10.288,RBT
81,15,5765,10.8555,9,6,29.141,0.00505481,0.0879683,15,9,314952,0.001,10179,8e-06,10.179,RBT
82,15,5834,10.8701,9,6,29.445,0.00504714,0.0890211,15,9,322712,0.008,10281,7e-05,10.281,RBT
83,15,5919,10.8871,9,6,29.95,0.00505998,0.0903182,15,9,337385,0.049,10136,0.000321,10.136,RBT
84,15,5975,10.9014,9,6,30.221,0.00505791,0.0911727,15,9,343616,0.004,10291,5.2e-05,10.291,RBT
85,15,5988,10.9043,9,6,30.505,0.00509436,0.091371,15,9,344919,0.054,10317,7.2e-05,10.317,RBT
86,15,6006,10.9084,9,6,30.896,0.00514419,0.0916457,15,9,346005,0.006,10172,2.7e-05,10.172,RBT
87,15,6020,10.9125,9,6,31.125,0.00517027,0.0918593,15,9,347062,0.004,10244,3.4e-05,10.244,RBT
88,15,6036,10.9178,9,6,31.354,0.0051945,0.0921035,15,9,348929,0.005,10376,2.1e-05,10.376,RBT
89,15,6095,10.927,9,6,31.791,0.00521591,0.0930037,15,9,357554,0.005,10233,6.3e-05,10.233,RBT
90,15,6117,10.933,9,6,31.858,0.00520811,0.0933394,15,9,359036,0.034,10485,0.000106,10.485,RBT
