Num_Docs,Altura,Total_Nos,Profundidade_Media,Profundidade_Minima,Max_Desbalanceamento,Tempo_Total_Indexacao,Tempo_Medio_Insercao,Densidade_Arvore,Maior_Galho,Menor_Galho,Total_Comparacoes_Indexacao,Tempo_Maximo_Busca_Amostra,Comparacoes_Total_Busca_Amostra,Tempo_Medio_Busca_Amostra_Por_Palavra,Comparacoes_Medias_Busca_Amostra_Por_Palavra,Tipo_Arvore
1,14,129,6.86047,4,0,0.039,0.000302326,0.00393689,14,4,1184,0.001,1313,5.64972e-06,7.41808,BST
2,16,205,7.8439,4,0,0.048,0.000234146,0.00156404,16,4,2298,0.027,2503,8.88158e-05,8.23355,BST
3,21,574,10.3728,5,0,0.154,0.000268293,0.000136852,21,5,12474,0.005,9951,2.5e-05,9.951,BST
4,21,604,10.5116,5,0,0.171,0.000283113,0.000144005,21,5,13291,0.021,9849,2.2e-05,9.849,BST
5,21,704,10.8849,5,0,0.202,0.000286932,0.000167847,21,5,16692,0.012,10086,1.5e-05,10.086,BST
6,22,806,11.2035,5,0,0.244,0.00030273,9.60827e-05,22,5,19189,0.001,10216,1e-06,10.216,BST
7,22,883,11.3533,5,0,0.254,0.000287656,0.000105262,22,5,21271,0.001,10318,3e-06,10.318,BST
8,23,1113,11.8095,5,0,0.37,0.000332435,6.634e-05,23,5,28925,0.002,10633,3e-06,10.633,BST
9,23,1160,11.8672,5,0,0.479,0.000412931,6.91414e-05,23,5,30067,0,10661,0,10.661,BST
10,23,1279,12.0235,5,0,0.592,0.000462862,7.62343e-05,23,5,34085,0.022,10549,3.3e-05,10.549,BST
11,23,1407,12.2203,5,0,0.737,0.00052381,8.38637e-05,23,5,39172,0.04,10862,0.000187,10.862,BST
12,23,1463,12.3049,5,0,0.787,0.000537936,8.72016e-05,23,5,41251,0.006,11174,0.000114,11.174,BST
13,23,1526,12.3886,5,0,0.86,0.000563565,9.09567e-05,23,5,43374,0.085,10953,0.000131,10.953,BST
14,23,1671,12.5697,5,0,0.931,0.000557151,9.95994e-05,23,5,48970,0,11053,0,11.053,BST
15,23,1824,12.693,5,0,1.053,0.000577303,0.000108719,23,5,56357,0.003,10979,1.6e-05,10.979,BST
16,24,1924,12.841,5,0,1.075,0.000558732,5.73397e-05,24,5,60569,0.001,10869,5e-06,10.869,BST
17,24,1994,12.9007,5,0,1.293,0.000648445,5.94258e-05,24,5,63842,0.002,10830,2e-06,10.83,BST
18,24,2057,12.9363,5,0,1.483,0.000720953,6.13034e-05,24,5,66258,0.001,11201,1.6e-05,11.201,BST
19,24,2119,12.9873,5,0,1.511,0.000713072,6.31511e-05,24,5,69032,0.001,11274,1e-05,11.274,BST
20,26,2314,13.1832,5,0,1.645,0.00071089,1.72406e-05,26,5,81537,0.002,10945,2.2e-05,10.945,BST
