Num_Docs,Altura,Total_Nos,Profundidade_Media,Profundidade_Minima,Max_Desbalanceamento,Tempo_Total_Indexacao,Tempo_Medio_Insercao,Densidade_Arvore,Maior_Galho,Menor_Galho,Total_Comparacoes_Indexacao,Tempo_Maximo_Busca_Amostra,Comparacoes_Total_Busca_Amostra,Tempo_Medio_Busca_Amostra_Por_Palavra,Comparacoes_Medias_Busca_Amostra_Por_Palavra,Tipo_Arvore
1,7,129,5.23256,5,3,0.03,0.000232558,0.505882,7,5,1006,0.001,1091,5.64972e-06,6.16384,RBT
2,8,205,5.94634,5,3,0.048,0.000234146,0.401174,8,5,1922,0,2058,0,6.76974,RBT
3,11,574,7.41986,7,6,0.923,0.00160801,0.140171,11,7,9978,0,7925,0,7.925,RBT
4,11,604,7.50662,7,6,0.962,0.00159272,0.147497,11,7,10706,0.001,8012,1e-06,8.012,RBT
5,11,704,7.72017,7,6,1.058,0.00150284,0.171917,11,7,13399,0.005,8141,5e-06,8.141,RBT
6,11,806,7.9268,7,6,1.078,0.00133747,0.196825,11,7,15448,0.001,8264,1e-06,8.264,RBT
7,11,883,8.05776,7,6,1.084,0.00122763,0.215629,11,7,17187,0,8373,0,8.373,RBT
8,11,1113,8.39892,7,6,1.142,0.00102606,0.271795,11,7,23574,0.001,8713,6e-06,8.713,RBT
9,12,1160,8.48017,7,6,1.143,0.000985345,0.141619,12,7,24525,0.004,8726,3.1e-05,8.726,RBT
10,12,1279,8.62627,7,6,1.194,0.000933542,0.156147,12,7,27917,0,8946,0,8.946,RBT
11,12,1407,8.76546,7,6,1.248,0.000886994,0.171774,12,7,32083,0.072,8973,0.000194,8.973,RBT
12,12,1463,8.82297,7,6,1.26,0.000861244,0.178611,12,7,33866,0,9045,0,9.045,RBT
13,12,1526,8.88663,7,6,1.262,0.000826999,0.186302,12,7,35647,0.002,8983,1e-05,8.983,RBT
14,12,1671,9.02693,7,6,1.273,0.000761819,0.204004,12,7,40496,0.001,9079,1e-06,9.079,RBT
15,12,1824,9.16502,8,5,1.347,0.000738487,0.222683,12,8,47005,0.139,9305,0.00044,9.305,RBT
16,13,1924,9.25156,8,5,1.363,0.00070842,0.117439,13,8,50453,0,9375,0,9.375,RBT
17,13,1994,9.30843,8,5,1.364,0.000684052,0.121712,13,8,53168,0.002,9455,8e-06,9.455,RBT
18,13,2057,9.36364,8,5,1.427,0.000693729,0.125557,13,8,55305,0,9486,0,9.486,RBT
19,13,2119,9.40916,8,5,2.341,0.00110477,0.129341,13,8,57663,0.112,9515,0.000143,9.515,RBT
20,13,2314,9.55143,8,5,2.478,0.00107087,0.141244,13,8,68302,0.123,9660,0.000144,9.66,RBT
21,13,2435,9.6345,8,5,2.694,0.00110637,0.14863,13,8,73344,0,9779,0,9.779,RBT
22,13,2470,9.65425,8,5,2.748,0.00111255,0.150766,13,8,75403,0,9749,0,9.749,RBT
23,13,2591,9.71787,8,5,2.959,0.00114203,0.158152,13,8,81637,0.014,9722,3.6e-05,9.722,RBT
24,13,2632,9.74582,8,5,3.03,0.00115122,0.160654,13,8,83430,0,9662,0,9.662,RBT
25,14,2682,9.76846,8,5,3.073,0.00114579,0.0818506,14,8,86298,0.009,9811,1.5e-05,9.811,RBT
26,14,2771,9.81812,8,5,3.209,0.00115807,0.0845668,14,8,91291,0.001,9771,6e-06,9.771,RBT
27,14,2828,9.84724,8,5,3.285,0.0011616,0.0863063,14,8,94425,0.001,9776,1e-06,9.776,RBT
28,14,3002,9.94404,8,5,3.651,0.00121619,0.0916166,14,8,102612,0.001,9906,6e-06,9.906,RBT
29,14,3055,9.9689,8,5,3.724,0.00121899,0.093234,14,8,105302,0.001,9731,6e-06,9.731,RBT
30,14,3160,10.0222,8,5,4.368,0.00138228,0.0964385,14,8,110943,0.002,9948,2.6e-05,9.948,RBT
31,14,3191,10.0382,8,5,4.506,0.0014121,0.0973846,14,8,112407,0.001,9946,9e-06,9.946,RBT
32,14,3249,10.0634,8,5,4.912,0.00151185,0.0991546,14,8,116546,0.005,9892,1.2e-05,9.892,RBT
