Num_Docs,Altura,Total_Nos,Profundidade_Media,Profundidade_Minima,Max_Desbalanceamento,Tempo_Total_Indexacao,Tempo_Medio_Insercao,Densidade_Arvore,Maior_Galho,Menor_Galho,Total_Comparacoes_Indexacao,Tempo_Maximo_Busca_Amostra,Comparacoes_Total_Busca_Amostra,Tempo_Medio_Busca_Amostra_Por_Palavra,Comparacoes_Medias_Busca_Amostra_Por_Palavra,Tipo_Arvore
1,7,129,5.23256,5,3,0.024,0.000186047,0.505882,7,5,1006,0.001,1079,5.64972e-06,6.09605,RBT
2,8,205,5.94634,5,3,0.045,0.000219512,0.401174,8,5,1922,0.001,2045,3.28947e-06,6.72697,RBT
3,11,574,7.41986,7,6,0.147,0.000256098,0.140171,11,7,9978,0.026,7957,2.7e-05,7.957,RBT
4,11,604,7.50662,7,6,0.168,0.000278146,0.147497,11,7,10706,0,7902,0,7.902,RBT
5,11,704,7.72017,7,6,0.306,0.000434659,0.171917,11,7,13399,0.001,8131,2e-06,8.131,RBT
6,11,806,7.9268,7,6,0.405,0.000502481,0.196825,11,7,15448,0.001,8199,1e-06,8.199,RBT
7,11,883,8.05776,7,6,0.482,0.000545866,0.215629,11,7,17187,0.103,8450,0.000106,8.45,RBT
8,11,1113,8.39892,7,6,0.642,0.000576819,0.271795,11,7,23574,0.001,8742,4e-06,8.742,RBT
9,12,1160,8.48017,7,6,0.7,0.000603448,0.141619,12,7,24525,0.07,8833,0.000104,8.833,RBT
10,12,1279,8.62627,7,6,0.771,0.000602815,0.156147,12,7,27917,0.001,8749,3e-06,8.749,RBT
11,12,1407,8.76546,7,6,0.933,0.000663113,0.171774,12,7,32083,0.021,8853,2.7e-05,8.853,RBT
12,12,1463,8.82297,7,6,1.042,0.000712235,0.178611,12,7,33866,0.088,9008,0.00033,9.008,RBT
13,12,1526,8.88663,7,6,1.165,0.000763434,0.186302,12,7,35647,0.003,9230,2.4e-05,9.23,RBT
14,12,1671,9.02693,7,6,1.267,0.000758229,0.204004,12,7,40496,0.035,9179,0.000165,9.179,RBT
