Num_Docs,Altura,Total_Nos,Profundidade_Media,Profundidade_Minima,Max_Desbalanceamento,Tempo_Total_Indexacao,Tempo_Medio_Insercao,Densidade_Arvore,Maior_Galho,Menor_Galho,Total_Comparacoes_Indexacao,Tempo_Maximo_Busca_Amostra,Comparacoes_Total_Busca_Amostra,Tempo_Medio_Busca_Amostra_Por_Palavra,Comparacoes_Medias_Busca_Amostra_Por_Palavra,Tipo_Arvore
1,7,129,5.28682,5,1,0.013,0.000100775,0.505882,7,5,991,0.009,1072,5.08475e-05,6.0565,AVL
2,8,205,5.89756,5,1,0.02,9.7561e-05,0.401174,8,5,1912,0.001,2001,3.28947e-06,6.58224,AVL
3,10,574,7.43554,6,1,0.064,0.000111498,0.28041,10,6,9808,0.001,7607,2e-06,7.607,AVL
4,10,604,7.51656,6,1,0.091,0.000150662,0.295066,10,6,10513,0,7809,0,7.809,AVL
5,11,704,7.73722,6,1,0.116,0.000164773,0.171917,11,6,13142,0.005,7802,7e-06,7.802,AVL
6,11,806,7.9268,6,1,0.133,0.000165012,0.196825,11,6,15100,0.013,8102,1.5e-05,8.102,AVL
7,11,883,8.06342,6,1,0.137,0.000155153,0.215629,11,6,16780,0.003,8166,3e-06,8.166,AVL
8,11,1113,8.36837,7,1,0.177,0.00015903,0.271795,11,7,22907,0.001,8384,1e-06,8.384,AVL
9,11,1160,8.43017,7,1,0.179,0.00015431,0.283272,11,7,23847,0.002,8461,4e-06,8.461,AVL
10,11,1279,8.57936,7,1,0.212,0.000165754,0.312332,11,7,27097,0.004,8514,8e-06,8.514,AVL
11,12,1407,8.72139,8,1,0.252,0.000179104,0.171774,12,8,31109,0.001,8629,1e-06,8.629,AVL
12,12,1463,8.77649,8,1,0.26,0.000177717,0.178611,12,8,32857,0.001,8670,2e-06,8.67,AVL
13,12,1526,8.82962,8,1,0.267,0.000174967,0.186302,12,8,34534,0.002,8793,3e-06,8.793,AVL
14,12,1671,8.96589,8,1,0.319,0.000190904,0.204004,12,8,39211,0,8966,0,8.966,AVL
15,12,1824,9.08333,8,1,0.389,0.000213268,0.222683,12,8,45431,0,9147,0,9.147,AVL
16,12,1924,9.1762,8,1,0.43,0.000223493,0.234892,12,8,48742,0.011,9119,1.3e-05,9.119,AVL
17,12,1994,9.2332,8,1,0.445,0.00022317,0.243438,12,8,51388,0.002,8949,2e-06,8.949,AVL
18,12,2057,9.28439,8,1,0.519,0.000252309,0.251129,12,8,53427,0,9175,0,9.175,AVL
19,12,2119,9.33082,8,1,0.527,0.000248702,0.258699,12,8,55688,0,9016,0,9.016,AVL
20,13,2314,9.45376,8,1,0.604,0.00026102,0.141244,13,8,65621,0.001,9119,1e-06,9.119,AVL
21,13,2435,9.53265,8,1,0.634,0.00026037,0.14863,13,8,70379,0,9087,0,9.087,AVL
22,13,2470,9.55304,8,1,0.644,0.000260729,0.150766,13,8,72310,0,9271,0,9.271,AVL
23,13,2591,9.61173,8,1,0.777,0.000299884,0.158152,13,8,78304,0,9449,0,9.449,AVL
24,13,2632,9.62994,8,1,0.783,0.000297492,0.160654,13,8,80023,0.014,9486,1.4e-05,9.486,AVL
25,13,2682,9.66145,8,1,0.79,0.000294556,0.163706,13,8,82706,0,9357,0,9.357,AVL
26,13,2771,9.70805,8,1,0.869,0.000313605,0.169139,13,8,87437,0,9542,0,9.542,AVL
27,13,2828,9.73444,8,1,0.878,0.000310467,0.172618,13,8,90458,0.001,9431,1e-06,9.431,AVL
28,13,3002,9.81779,8,1,0.954,0.000317788,0.183239,13,8,98329,0,9263,0,9.263,AVL
29,13,3055,9.84124,8,1,0.98,0.000320786,0.186474,13,8,100905,0,9395,0,9.395,AVL
30,13,3160,9.88449,8,1,0.997,0.000315506,0.192883,13,8,106329,0,9444,0,9.444,AVL
31,13,3191,9.89784,8,1,1.001,0.000313695,0.194775,13,8,107744,0,9336,0,9.336,AVL
32,13,3249,9.92305,8,1,1.076,0.000331179,0.198315,13,8,111766,0,9407,0,9.407,AVL
33,13,3340,9.96138,9,1,1.096,0.000328144,0.20387,13,9,117344,0,9365,0,9.365,AVL
34,13,3388,9.97668,9,1,1.103,0.000325561,0.2068,13,9,119878,0,9241,0,9.241,AVL
35,13,3448,10.0015,9,1,1.204,0.000349188,0.210462,13,9,122975,0,9475,0,9.475,AVL
36,13,3526,10.0357,9,1,1.217,0.00034515,0.215223,13,9,127630,0.002,9520,7e-06,9.52,AVL
37,13,3545,10.0463,9,1,1.223,0.000344993,0.216383,13,9,128209,0.002,9447,1.8e-05,9.447,AVL
38,13,3566,10.0558,9,1,1.224,0.000343242,0.217665,13,9,130309,0.001,9608,1.4e-05,9.608,AVL
39,13,3581,10.062,9,1,1.225,0.000342083,0.21858,13,9,131279,0.001,9675,1.7e-05,9.675,AVL
40,13,3626,10.0822,9,1,1.3,0.000358522,0.221327,13,9,133973,0.001,9607,6e-06,9.607,AVL
41,13,3793,10.1526,9,1,1.489,0.000392565,0.23152,13,9,144667,0.001,9636,4e-06,9.636,AVL
42,13,3861,10.1782,9,1,1.53,0.00039627,0.235671,13,9,147812,0.001,9521,3e-06,9.521,AVL
43,14,3952,10.2123,9,1,1.587,0.000401569,0.120609,14,9,153821,0.001,9662,5e-06,9.662,AVL
44,14,3975,10.2209,9,1,1.724,0.000433711,0.121311,14,9,155688,0.001,9596,6e-06,9.596,AVL
45,14,4047,10.2473,9,1,1.762,0.000435384,0.123508,14,9,160665,0.001,9535,4e-06,9.535,AVL
46,14,4079,10.2594,9,1,1.778,0.000435891,0.124485,14,9,163104,0.001,9550,1e-06,9.55,AVL
47,14,4123,10.2765,9,1,1.822,0.000441911,0.125828,14,9,166696,0.018,9797,2.5e-05,9.797,AVL
48,14,4137,10.2816,9,1,1.939,0.000468697,0.126255,14,9,168487,0.001,9681,4e-06,9.681,AVL
49,14,4317,10.3407,9,1,2.014,0.000466528,0.131748,14,9,179280,0.002,9767,1.2e-05,9.767,AVL
50,14,4378,10.3627,9,1,2.136,0.000487894,0.13361,14,9,184676,0.016,9955,2e-05,9.955,AVL
51,14,4451,10.3853,9,1,2.224,0.000499663,0.135838,14,9,189804,0.034,9922,0.000217,9.922,AVL
52,14,4543,10.414,9,1,2.424,0.000533568,0.138646,14,9,195762,0.005,9839,3.7e-05,9.839,AVL
53,14,4614,10.4382,9,1,2.484,0.000538362,0.140812,14,9,201459,0.042,9802,0.000125,9.802,AVL
54,14,4653,10.4496,9,1,2.574,0.000553191,0.142003,14,9,204717,0.044,9758,0.00038,9.758,AVL
55,14,4664,10.4526,9,1,2.582,0.000553602,0.142338,14,9,205896,0.018,9759,0.000178,9.759,AVL
56,14,4673,10.4545,9,1,2.589,0.000554034,0.142613,14,9,207002,0.05,9870,0.000565,9.87,AVL
57,14,4734,10.4753,9,1,2.61,0.000551331,0.144475,14,9,211436,0.001,9694,3e-05,9.694,AVL
58,14,4770,10.4857,9,1,2.631,0.000551572,0.145573,14,9,213723,0.034,10021,6.9e-05,10.021,AVL
59,14,4802,10.4979,9,1,2.793,0.000581633,0.14655,14,9,216322,0.025,9861,0.000191,9.861,AVL
60,14,4831,10.5076,9,1,2.823,0.000584351,0.147435,14,9,218205,0.015,9710,7.7e-05,9.71,AVL
61,14,4858,10.5161,9,1,2.855,0.00058769,0.148259,14,9,219649,0.013,9762,6.1e-05,9.762,AVL
62,14,4886,10.5239,9,1,2.876,0.000588621,0.149113,14,9,221469,0.005,9907,7e-06,9.907,AVL
63,14,4926,10.5355,9,1,2.889,0.00058648,0.150334,14,9,224812,0.001,9878,1e-06,9.878,AVL
64,14,4971,10.549,9,1,2.9,0.000583384,0.151708,14,9,227747,0.001,9802,2e-06,9.802,AVL
